#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 02 10 20 999 99.0 99.0 99.00 99.00 99.00 999 1016.6 999.0   9.3 999.0 99.0 99.00 
2023 01 02 10 30 999 99.0 99.0 99.00 99.00 99.00 999 1016.5 999.0   9.3 999.0 99.0 99.00 
2023 01 02 10 40 999 99.0 99.0  2.09  8.33  5.76 183 1016.7 999.0   9.3 999.0 99.0 99.00 
2023 01 02 10 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.8 999.0   9.3 999.0 99.0 99.00 
2023 01 02 11 00 999 99.0 99.0 99.00 99.00 99.00 999 1016.9 999.0   9.3 999.0 99.0 99.00 
2023 01 02 11 10 999 99.0 99.0  2.05  9.09  5.57 194 1017.0 999.0   9.3 999.0 99.0 99.00 
2023 01 02 11 20 999 99.0 99.0 99.00 99.00 99.00 999 1017.0 999.0   9.4 999.0 99.0 99.00 
2023 01 02 11 30 999 99.0 99.0 99.00 99.00 99.00 999 1017.1 999.0   9.4 999.0 99.0 99.00 
2023 01 02 11 40 999 99.0 99.0  2.11  7.69  5.75 216 1017.3 999.0   9.4 999.0 99.0 99.00 
2023 01 02 11 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.4 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 00 999 99.0 99.0 99.00 99.00 99.00 999 1017.3 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 10 999 99.0 99.0  1.92  9.09  5.48 201 1017.4 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 20 999 99.0 99.0 99.00 99.00 99.00 999 1017.6 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 30 999 99.0 99.0 99.00 99.00 99.00 999 1017.6 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 40 999 99.0 99.0  2.20  8.33  5.55 191 1017.8 999.0   9.4 999.0 99.0 99.00 
2023 01 02 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1017.9 999.0   9.4 999.0 99.0 99.00 
2023 01 02 13 00 999 99.0 99.0 99.00 99.00 99.00 999 1018.1 999.0   9.4 999.0 99.0 99.00 
